county,Number of ELI HHs surveyed,Unweighted ELI obs < 10,State Name,County Name,Housing gap,Total ELI renters,Number of HUD asst units,Housing gap (asst off),Units per 100 renters,Units per 100 renters (asst off),AAA units,AAA units (asst off),Total Population 2013,"AAA units (asst off, no neg)"
2070,2.776943861,1,Alaska,Dillingham Census Area,47.2455719,88.78715101,2,49.2455719,46.78782756,44.53524937,41.54157911,39.54157911,,39.54157911
2090,14.92926518,0,Alaska,Fairbanks North Star Borough,872.0048072,1553.322182,498,1370.004807,43.86194845,11.80163245,681.3173747,183.3173747,100436,183.3173747
2100,0.373393505,1,Alaska,Haines Borough,21.8095752,38.84989699,1,22.8095752,43.86194845,41.28793905,17.04032179,16.04032179,,16.04032179
2110,3.718826646,1,Alaska,Juneau City and Borough,217.2132836,386.9270087,430,647.2132836,43.86194845,0,169.7137251,-260.2862749,,0
2122,9.885590015,1,Alaska,Kenai Peninsula Borough,792.8243192,880.212935,151,943.8243192,9.928122192,0,87.38861573,-63.61138427,,0
2130,,,,,,,,,0,0,,,,0
2150,12.88501951,0,Alaska,Kodiak Island Borough,219.2194536,411.9723807,42,261.2194536,46.78782756,36.59296937,192.7529271,150.7529271,,150.7529271
2164,0.399879916,1,Alaska,Lake and Peninsula Borough,6.803362354,12.78534975,,6.803362354,46.78782756,46.78782756,5.981987391,5.981987391,,5.981987391
2170,15.11440999,0,Alaska,Matanuska-Susitna Borough,1212.175681,1345.787065,181,1393.175681,9.928122192,0,133.6113843,-47.38861573,95192,0
2180,7.086760733,1,Alaska,Nome Census Area,120.5706995,226.5848094,9,129.5706995,46.78782756,42.81580489,106.0141099,97.01410988,,97.01410988
2185,2.221555089,1,Alaska,North Slope Borough,37.79645752,71.02972081,,37.79645752,46.78782756,46.78782756,33.23326328,33.23326328,,33.23326328
2188,3.287901531,1,Alaska,Northwest Arctic Borough,55.93875713,105.1239868,3,58.93875713,46.78782756,43.93405451,49.18522966,46.18522966,,46.18522966
2201,,,,,,,,,0,0,,,,0
2220,14.99549685,0,Alaska,Sitka City and Borough,255.1260883,479.4506154,34,289.1260883,46.78782756,39.6963777,224.3245272,190.3245272,,190.3245272
2232,2.230450475,1,,,41.0749056,76.75863493,1,42.0749056,46.48822815,45.18544313,35.68372933,34.68372933,,34.68372933
2240,0.43598548,1,Alaska,Southeast Fairbanks Census Area,25.46551555,45.36230747,,25.46551555,43.86194845,43.86194845,19.89679192,19.89679192,,19.89679192
2261,0.535269303,1,Alaska,Valdez-Cordova Census Area,31.26459335,55.69233788,41,72.26459335,43.86194845,0,24.42774453,-16.57225547,,0
2270,1.51065746,1,Alaska,Wade Hampton Census Area,25.70159111,48.30021015,1,26.70159111,46.78782756,44.71744319,22.59861903,21.59861903,,21.59861903
2280,,,,,,,,,0,0,,,,0
2282,0.710897628,1,Alaska,Yakutat City and Borough,12.09486641,22.72951066,,12.09486641,46.78782756,46.78782756,10.63464425,10.63464425,,10.63464425
2290,2.843590513,1,Alaska,Yukon-Koyukuk Census Area,48.37946563,90.91804263,,48.37946563,46.78782756,46.78782756,42.538577,42.538577,,42.538577
2999,12.20214749,0,,,284.1708328,523.4514569,141,425.1708328,45.7120944,18.7754992,239.2806241,98.28062409,,98.28062409
4001,19.2302943,0,Arizona,Apache County,714.945462,1162.247376,57,771.945462,38.48594742,33.58165585,447.301914,390.301914,71934,390.301914
4003,35.46536771,0,Arizona,Cochise County,2897.816087,4105.855174,549,3446.816087,29.42235019,16.05120151,1208.039088,659.0390876,129473,659.0390876
4005,41,0,Arizona,Coconino County,4169,4860,416,4585,14.218107,5.658436214,691,275,136539,275
4007,14.59521869,0,Arizona,Gila County,611.8315675,1270.367835,47,658.8315675,51.83823529,48.13851946,658.5362673,611.5362673,,611.5362673
4009,6.642216789,1,Arizona,Graham County,278.4417278,578.1385493,29,307.4417278,51.83823529,46.82213664,299.6968215,270.6968215,,270.6968215
4011,1.718283075,1,Arizona,Greenlee County,72.03042652,149.5593589,,72.03042652,51.83823529,51.83823529,77.52893236,77.52893236,,77.52893236
4012,2.41379892,1,Arizona,La Paz County,198.0492578,242.2629892,,198.0492578,18.25030377,18.25030377,44.21373144,44.21373144,,44.21373144
4013,1058,0,Arizona,Maricopa County,99378,119029,12994,112372,16.50942207,5.592754707,19651,6657,4009412,6657
4015,38.58620108,0,Arizona,Mohave County,3165.950742,3872.737011,191,3356.950742,18.25030377,13.31839129,706.7862686,515.7862686,203030,515.7862686
4017,53.7697057,0,Arizona,Navajo County,1999.054538,3249.752624,91,2090.054538,38.48594742,35.68573428,1250.698086,1159.698086,107322,1159.698086
4019,321,0,Arizona,Pima County,29391,39032,4792,34183,24.70024595,12.42313999,9641,4849,996554,4849
4021,71.04428145,0,Arizona,Pinal County,5466.696278,7778.934257,496,5962.696278,29.72435429,23.34815951,2312.237979,1816.237979,389350,1816.237979
4023,12.53463229,0,Arizona,Santa Cruz County,1024.183914,1451.144826,277,1301.183914,29.42235019,10.33397286,426.9609124,149.9609124,,149.9609124
4025,47,0,Arizona,Yavapai County,5841,7999,244,6085,26.9783723,23.927991,2158,1914,215133,1914
4027,25,0,Arizona,Yuma County,1632,2328,998,2630,29.89690722,0,696,-302,201201,0
5001,5.25630656,1,Arkansas,Arkansas County,379.9326427,548.953971,264,643.9326427,30.78970866,0,169.0213284,-94.97867162,,0
5003,6.313718211,1,Arkansas,Ashley County,412.6875812,676.2853165,164,576.6875812,38.97729684,14.72717696,263.5977353,99.59773529,,99.59773529
5005,8.612903226,1,Arkansas,Baxter County,402.6532258,633.3559908,147,549.6532258,36.42544925,13.21575326,230.702765,83.70276498,,83.70276498
5007,18,0,Arkansas,Benton County,2016,2319,477,2493,13.06597671,0,303,-174,237297,0
5009,7.207373272,1,Arkansas,Boone County,336.9447005,529.9993417,347,683.9447005,36.42544925,0,193.0546412,-153.9453588,,0
5011,4.680155931,1,Arkansas,Bradley County,305.9120104,501.3085205,114,419.9120104,38.97729684,16.23680963,195.3965101,81.39651012,,81.39651012
5013,0.846629214,1,Arkansas,Calhoun County,55.05655431,97.41367041,9,64.05655431,43.48169608,34.24274639,42.35711611,33.35711611,,33.35711611
5015,5.041474654,1,Arkansas,Carroll County,235.6889401,370.7284398,91,326.6889401,36.42544925,11.87918027,135.0394997,44.03949967,,44.03949967
5017,5.521440505,1,Arkansas,Chicot County,360.9014294,591.4215705,118,478.9014294,38.97729684,19.02536984,230.5201411,112.5201411,,112.5201411
5019,5.229931973,1,Arkansas,Clark County,561.7959184,662.1768708,264,825.7959184,15.15923567,0,100.3809524,-163.6190476,,0
5021,4.872849857,1,Arkansas,Clay County,333.0009508,475.4117037,97,430.0009508,29.95524758,9.55187946,142.4107529,45.41075287,,45.41075287
5023,6.204545455,1,Arkansas,Cleburne County,316.9090909,420.7954546,79,395.9090909,24.68809074,5.914123684,103.8863636,24.88636364,,24.88636364
5025,1.796918508,1,Arkansas,Cleveland County,117.4531279,192.4744756,26,143.4531279,38.97729684,25.46901221,75.02134769,49.02134769,,49.02134769
5027,7.693820225,1,Arkansas,Columbia County,500.3314607,885.255618,171,671.3314607,43.48169608,24.16524142,384.9241573,213.9241573,,213.9241573
5029,4.782337956,1,Arkansas,Conway County,395.0500991,549.3891877,167,562.0500991,28.09285149,0,154.3390886,-12.66091141,,0
5031,44.4319407,0,Arkansas,Craighead County,3057.730363,4359.343236,1097,4154.730363,29.85800388,4.693662816,1301.612873,204.6128725,101488,204.6128725
5033,11.0519084,0,Arkansas,Crawford County,1043.254103,1323.696279,360,1403.254103,21.18629327,0,280.4421756,-79.55782443,,0
5035,30.68591867,0,Arkansas,Crittenden County,2314.364287,3242.478739,803,3117.364287,28.6236095,3.85860517,928.1144523,125.1144523,,125.1144523
5037,6.596716826,1,Arkansas,Cross County,421.4569083,664.0694938,211,632.4569083,36.53421634,4.760433327,242.6125855,31.6125855,,31.6125855
5039,2.756179775,1,Arkansas,Dallas County,179.235206,317.1277154,61,240.235206,43.48169608,24.24654347,137.8925094,76.89250936,,76.89250936
5041,7.996287359,1,Arkansas,Desha County,522.6664192,856.5114164,308,830.6664192,38.97729684,3.01747259,333.8449972,25.84499722,,25.84499722
5043,11.54928532,0,Arkansas,Drew County,754.9032857,1237.085948,193,947.9032857,38.97729684,23.37611728,482.182662,289.182662,,289.182662
5045,33.46479501,0,Arkansas,Faulkner County,2724.470811,3686.21992,418,3142.470811,26.09038879,14.75085916,961.7491087,543.7491087,119580,543.7491087
5047,3.315398412,1,Arkansas,Franklin County,198.0950551,401.1632078,66,264.0950551,50.61983471,34.1676779,203.0681527,137.0681527,,137.0681527
5049,3.266678886,1,Arkansas,Fulton County,166.8519062,221.5478372,79,245.8519062,24.68809074,0,54.69593109,-24.30406891,,0
5051,20.21326531,0,Arkansas,Garland County,2171.295918,2559.260204,608,2779.295918,15.15923567,0,387.9642857,-220.0357143,97173,0
5053,2.2875,1,Arkansas,Grant County,178.0013889,234.0027778,35,213.0013889,23.93193338,8.974845978,56.00138889,21.00138889,,21.00138889
5055,15.74163713,0,Arkansas,Greene County,1075.752442,1535.80733,325,1400.752442,29.95524758,8.793738995,460.0548881,135.0548881,,135.0548881
5057,9.694370483,1,Arkansas,Hempstead County,615.2196653,1015.920312,220,835.2196653,39.44213359,17.7868918,400.7006466,180.7006466,,180.7006466
5059,4.583219955,1,Arkansas,Hot Spring County,492.3265306,580.2947846,156,648.3265306,15.15923567,0,87.96825397,-68.03174603,,0
5061,3.46400205,1,Arkansas,Howard County,206.9741225,419.144248,92,298.9741225,50.61983471,28.67035063,212.1701255,120.1701255,,120.1701255
5063,14.37481672,0,Arkansas,Independence County,734.2214076,974.9074414,210,944.2214076,24.68809074,3.147584317,240.6860337,30.68603372,,30.68603372
5065,4.324596774,1,Arkansas,Izard County,220.8870968,293.296371,81,301.8870968,24.68809074,0,72.40927419,-8.590725806,,0
5067,6.779631256,1,Arkansas,Jackson County,382.0698859,524.4421422,345,727.0698859,27.14737145,0,142.3722564,-202.6277436,,0
5069,21.7921875,0,Arkansas,Jefferson County,1695.755035,2229.260069,776,2471.755035,23.93193338,0,533.5050347,-242.4949653,73191,0
5071,8.200962355,1,Arkansas,Johnson County,677.4491933,942.1166148,124,801.4491933,28.09285149,14.93099891,264.6674215,140.6674215,,140.6674215
5073,1.839482693,1,Arkansas,Lafayette County,116.7364017,192.768353,12,128.7364017,39.44213359,33.21704539,76.03195131,64.03195131,,64.03195131
5075,4.461664794,1,Arkansas,Lawrence County,304.9013744,435.295099,239,543.9013744,29.95524758,0,130.3937246,-108.6062754,,0
5077,5.193160055,1,Arkansas,Lee County,331.7852257,522.7781122,345,676.7852257,36.53421634,0,190.9928865,-154.0071135,,0
5079,3.806200111,1,Arkansas,Lincoln County,248.78708,407.6959347,52,300.78708,38.97729684,26.22269333,158.9088547,106.9088547,,106.9088547
5081,3.716051731,1,Arkansas,Little River County,235.8263598,389.4231647,115,350.8263598,39.44213359,9.911276053,153.5968049,38.59680487,,38.59680487
5083,4.514476044,1,Arkansas,Logan County,269.7399436,546.2516013,129,398.7399436,50.61983471,27.0043433,276.5116577,147.5116577,,147.5116577
5085,12.53520499,0,Arkansas,Lonoke County,1020.529189,1380.78008,525,1545.529189,26.09038879,0,360.2508913,-164.7491087,70753,0
5087,2.239631336,1,Arkansas,Madison County,104.702765,164.6928901,82,186.702765,36.42544925,0,59.99012508,-22.00987492,,0
5089,2.926267281,1,Arkansas,Marion County,136.8029954,215.1851547,47,183.8029954,36.42544925,14.58379383,78.38215932,31.38215932,,31.38215932
5091,18.02396348,0,Arkansas,Miller County,1143.828452,1888.818943,617,1760.828452,39.44213359,6.77621808,744.9904907,127.9904907,,127.9904907
5093,23.30136442,0,Arkansas,Mississippi County,1757.413432,2462.177507,713,2470.413432,28.6236095,0,704.7640747,-8.235925288,,0
5095,4.306703146,1,Arkansas,Monroe County,275.1504788,433.5414501,151,426.1504788,36.53421634,1.704789997,158.3909713,7.390971272,,7.390971272
5097,0.973582766,1,Arkansas,Montgomery County,104.5816327,123.2681406,20,124.5816327,15.15923567,0,18.68650794,-1.313492063,,0
5099,2.699885888,1,Arkansas,Nevada County,171.3389121,282.9341955,113,284.3389121,39.44213359,0,111.5952834,-1.404716622,,0
5101,0.612903226,1,Arkansas,Newton County,28.65322581,45.0702765,8,36.65322581,36.42544925,18.67539173,16.41705069,8.417050691,,8.417050691
5103,9.343820225,1,Arkansas,Ouachita County,607.6314607,1075.105618,365,972.6314607,43.48169608,9.531543282,467.4741573,102.4741573,,102.4741573
5105,0.901358619,1,Arkansas,Perry County,74.45768469,103.5469856,15,89.45768469,28.09285149,13.60667411,29.08930088,14.08930088,,14.08930088
5107,14.13898769,0,Arkansas,Phillips County,903.3242134,1423.324761,545,1448.324213,36.53421634,0,520.0005472,-24.9994528,,0
5109,3.026245721,1,Arkansas,Pike County,192.0502092,317.1350323,56,248.0502092,39.44213359,21.78404026,125.0848231,69.08482313,,69.08482313
5111,10.28290014,0,Arkansas,Poinsett County,656.9630643,1035.14528,482,1138.963064,36.53421634,0,378.1822161,-103.8177839,,0
5113,3.397386626,1,Arkansas,Polk County,202.9938509,411.0837817,100,302.9938509,50.61983471,26.29389327,208.0899308,108.0899308,,108.0899308
5115,14.30965185,0,Arkansas,Pope County,1182.063968,1643.87546,398,1580.063968,28.09285149,3.881771655,461.8114917,63.81149165,,63.81149165
5117,2.259877085,1,Arkansas,Prairie County,127.3566286,174.8140474,38,165.3566286,27.14737145,5.409987886,47.45741879,9.457418788,,9.457418788
5119,112,0,Arkansas,Pulaski County,9023,13036,4570,13593,30.78398282,0,4013,-557,391284,0
5121,4.504624427,1,Arkansas,Randolph County,307.837151,439.486386,175,482.837151,29.95524758,0,131.649235,-43.35076498,,0
5123,13.48153215,0,Arkansas,St. Francis County,861.3201094,1357.140903,608,1469.320109,36.53421634,0,495.8207934,-112.1792066,,0
5125,8,1,Arkansas,Saline County,805,1040,477,1282,22.59615385,0,235,-242,114404,0
5127,2.075326672,1,Arkansas,Scott County,124.0007686,251.1145273,55,179.0007686,50.61983471,28.71747781,127.1137587,72.11375865,,72.11375865
5129,1.359447005,1,Arkansas,Searcy County,63.55414747,99.96790652,10,73.55414747,36.42544925,26.42223887,36.41375905,26.41375905,,26.41375905
5131,36.9480916,0,Arkansas,Sebastian County,3487.745897,4425.303721,1203,4690.745897,21.18629327,0,937.5578244,-265.4421756,127342,0
5133,3.233410197,1,Arkansas,Sevier County,193.1962593,391.2426339,88,281.1962593,50.61983471,28.12739846,198.0463746,110.0463746,,110.0463746
5135,4.975073314,1,Arkansas,Sharp County,254.111437,337.4120235,85,339.111437,24.68809074,0,83.30058651,-1.69941349,,0
5137,2.380315249,1,Arkansas,Stone County,121.5791789,161.4342009,43,164.5791789,24.68809074,0,39.85502199,-3.144978006,,0
5139,12.35955056,0,Arkansas,Union County,803.7453184,1422.097378,370,1173.745318,43.48169608,17.4637872,618.3520599,248.3520599,,248.3520599
5141,3.473973607,1,Arkansas,Van Buren County,177.4398827,235.6066716,43,220.4398827,24.68809074,6.437334205,58.16678886,15.16678886,,15.16678886
5143,53,0,Arkansas,Washington County,6149,8173,1011,7160,24.76446837,12.3944696,2024,1013,216410,1013
5145,32.51536436,0,Arkansas,White County,1832.421422,2515.244074,530,2362.421422,27.14737145,6.075857729,682.8226515,152.8226515,78483,152.8226515
5147,3.445127305,1,Arkansas,Woodruff County,194.1520632,266.4997366,182,376.1520632,27.14737145,0,72.3476734,-109.6523266,,0
5149,4.805689216,1,Arkansas,Yell County,396.9790546,552.0717521,113,509.9790546,28.09285149,7.624497589,155.0926974,42.09269742,,42.09269742
6001,672,0,California,Alameda County,55190,73072,15737,70927,24.47175389,2.935460915,17882,2145,1578891,2145
6003,0.203102962,1,California,Alpine County,16.7070992,24.01504466,,16.7070992,30.43069695,30.43069695,7.307945463,7.307945463,,7.307945463
6005,9.205641749,1,California,Amador County,757.2492713,1088.481899,101,858.2492713,30.43069695,21.15171858,331.2326281,230.2326281,,230.2326281
6007,97,0,California,Butte County,7868,9267,1201,9069,15.09657926,2.136613791,1399,198,222090,198
6009,9.337658674,1,California,Calaveras County,768.1088858,1104.091678,32,800.1088858,30.43069695,27.5323869,335.9827927,303.9827927,,303.9827927
6011,5.776087269,1,California,Colusa County,275.276159,574.5686809,52,327.276159,52.08994709,43.03968004,299.2925219,247.2925219,,247.2925219
6013,257,0,California,Contra Costa County,23629,33367,7127,30756,29.18452363,7.825096652,9738,2611,1094205,2611
6015,13.50889006,0,California,Del Norte County,609.2073645,1057.833246,133,742.2073645,42.40988672,29.8370166,448.6258811,315.6258811,,315.6258811
6017,30,0,California,El Dorado County,3484,5261,421,3905,33.77684851,25.77456757,1777,1356,181737,1356
6019,337,0,California,Fresno County,34973,41628,7163,42136,15.98683578,0,6655,-508,955272,0
6021,8.203243864,1,California,Glenn County,390.9493326,816.0068896,74,464.9493326,52.08994709,43.02139621,425.0575571,351.0575571,,351.0575571
6023,39,0,California,Humboldt County,3702,4403,806,4508,15.92096298,0,701,-105,134493,0
6025,49,0,California,Imperial County,3540,5509,1782,5322,35.74151389,3.394445453,1969,187,176584,187
6027,6.316502116,1,California,Inyo County,519.5907851,746.8678891,2,521.5907851,30.43069695,30.16291197,227.2771039,225.2771039,,225.2771039
6029,200,0,California,Kern County,22520,26777,2775,25295,15.89797214,5.53460059,4257,1482,864124,1482
6031,43,0,California,Kings County,3583,5104,533,4116,29.80015674,19.35736677,1521,988,150960,988
