l30_4,county,countyname,pop2011_13,state_flag,Avg_ELITotal_11_13,Avg_Units_11_13,Avg_units_hud_12_13,Avg_Units_No_Assist_11_13,Gap_11_to_13,Gap_11_to_13_No_Assist,per100,per100_No_Assist,State_Avg_ELITotal_11_13,State_Avg_Units_11_13,State_Avg_units_hud_12_13,State_Avg_Units_No_Assist_11_13,State_Gap_11_to_13,State_Gap_11_to_13_No_Assist,State_per100,State_per100_No_Assist
13800,01029,Cleburne County,,1,,,,,,,,,7766.164927,3785.690215,2524,1261.690215,3980.474712,6504.474712,48.74594154,16.24598791
17500,01031,Coffee County,50906,0,1556.258649,676.6413793,404.5,272.1413793,879.6172696,1284.11727,43.4787225,17.48689908,,,,,,,,
15350,01033,Colbert County,54450,0,1620.63895,719.9088886,686.5,33.40888857,900.7300617,1587.230062,44.42129991,2.061464002,,,,,,,,
13800,01035,Conecuh County,,1,,,,,,,,,7766.164927,3785.690215,2524,1261.690215,3980.474712,6504.474712,48.74594154,16.24598791
15050,01037,Coosa County,,1,,,,,,,,,7766.164927,3785.690215,2524,1261.690215,3980.474712,6504.474712,48.74594154,16.24598791
13850,01039,Covington County,37932,0,1074.818018,472.6423448,288,184.6423448,602.1756729,890.1756729,43.97417395,17.17894022,,,,,,,,
14950,01041,Crenshaw County,,1,,,,,,,,,7766.164927,3785.690215,2524,1261.690215,3980.474712,6504.474712,48.74594154,16.24598791
14750,01043,Cullman County,80566,0,2325.864135,1079.211301,355.5,723.7113013,1246.652833,1602.152833,46.40044469,31.11580296,,,,,,,,
16150,01045,Dale County,50106,0,1572.339538,677.513741,513,164.513741,894.8257971,1407.825797,43.08953153,10.46299078,,,,,,,,
13800,01047,Dallas County,42618,0,3301.434724,1552.432216,1054.5,497.9322158,1749.002508,2803.502508,47.02295656,15.08229777,,,,,,,,
13800,01049,DeKalb County,71137,0,1217.302753,642.3914166,434,208.3914166,574.911336,1008.911336,52.77170492,17.11911159,,,,,,,,
18450,01051,Elmore County,80443,0,1704.580902,624.8115317,134.5,490.3115317,1079.76937,1214.26937,36.65484759,28.76434502,,,,,,,,
13800,01053,Escambia County,38094,0,1790.158544,872.2742526,200,672.2742526,917.8842914,1117.884291,48.7260894,37.55389459,,,,,,,,
13800,01055,Etowah County,104188,0,2610.666667,1074,956,118,1536.666667,2492.666667,41.13891726,4.519918284,,,,,,,,
13800,01057,Fayette County,,1,,,,,,,,,7766.164927,3785.690215,2524,1261.690215,3980.474712,6504.474712,48.74594154,16.24598791
14150,01059,Franklin County,31661,0,1009.258,418.4923613,376,42.49236133,590.7656387,966.7656387,41.46534992,4.210257569,,,,,,,,
15000,01061,Geneva County,26837,0,690.6380201,277.7755986,260.5,17.2755986,412.8624215,673.3624215,40.2201429,2.501396983,,,,,,,,
16700,01063,Greene County,,1,,,,,,,,,7766.164927,3785.690215,2524,1261.690215,3980.474712,6504.474712,48.74594154,16.24598791
16700,01065,Hale County,,1,,,,,,,,,7766.164927,3785.690215,2524,1261.690215,3980.474712,6504.474712,48.74594154,16.24598791
14950,01067,Henry County,,1,,,,,,,,,7766.164927,3785.690215,2524,1261.690215,3980.474712,6504.474712,48.74594154,16.24598791
15000,01069,Houston County,103112,0,3297.494299,1422.002606,1035,387.0026063,1875.491692,2910.491692,43.12373207,11.73626309,,,,,,,,
14500,01071,Jackson County,53078,0,1126.363914,593.9419167,365,228.9419167,532.4219974,897.4219974,52.73090777,20.32575031,,,,,,,,
17900,01073,Jefferson County,658601,0,29590.66667,10138,10503,0,19452.66667,29590.66667,34.26080296,0,,,,,,,,
13800,01075,Lamar County,,1,,,,,,,,,7766.164927,3785.690215,2524,1261.690215,3980.474712,6504.474712,48.74594154,16.24598791
15350,01077,Lauderdale County,92693,0,3299.911008,1457.194069,1028,429.1940689,1842.716939,2870.716939,44.15858687,13.00623162,,,,,,,,
16550,01079,Lawrence County,33806,0,606.2610396,284.2161079,151,133.2161079,322.0449317,473.0449317,46.88015381,21.97339086,,,,,,,,
18900,01081,Lee County,147537,0,7430.739191,1789.701575,1074.5,715.2015747,5641.037616,6715.537616,24.08510821,9.624904823,,,,,,,,
21450,01083,Limestone County,87255,0,2502.453852,1290.593383,532.5,758.0933833,1211.860468,1744.360468,51.57311423,30.29400054,,,,,,,,
18450,01085,Lowndes County,,1,,,,,,,,,7766.164927,3785.690215,2524,1261.690215,3980.474712,6504.474712,48.74594154,16.24598791
13800,01087,Macon County,20429,0,854.8411547,358.4837759,469,0,496.3573788,854.8411547,41.93571799,0,,,,,,,,
21450,01089,Madison County,343112,0,12054.1221,3642.389359,2471.5,1170.889359,8411.732738,10883.23274,30.21696089,9.713601289,,,,,,,,
13950,01091,Marengo County,20411,0,896.9358194,424.682968,231.5,193.182968,472.2528514,703.7528514,47.34820027,21.53810382,,,,,,,,
14100,01093,Marion County,30538,0,1062.957031,553.1765806,400,153.1765806,509.7804499,909.7804499,52.0412928,14.41042076,,,,,,,,
15250,01095,Marshall County,94365,0,2580.451479,1360.701485,997,363.7014848,1219.749994,2216.749994,52.73114011,14.09449036,,,,,,,,
15700,01097,Mobile County,413553,0,14563.66667,3785.666667,6102.5,0,10778,14563.66667,25.99391179,0,,,,,,,,
13800,01099,Monroe County,22556,0,837.7200751,408.2039117,141,267.2039117,429.5161634,570.5161634,48.72796102,31.89656302,,,,,,,,
18450,01101,Montgomery County,229162,0,10991.34454,2991.493312,3059,0,7999.85123,10991.34454,27.21680956,0,,,,,,,,
16550,01103,Morgan County,119953,0,3620.73896,1700.450559,846.5,853.9505586,1920.288402,2766.788402,46.96418541,23.58497997,,,,,,,,
13800,01105,Perry County,,1,,,,,,,,,7766.164927,3785.690215,2524,1261.690215,3980.474712,6504.474712,48.74594154,16.24598791
13800,01107,Pickens County,,1,,,,,,,,,7766.164927,3785.690215,2524,1261.690215,3980.474712,6504.474712,48.74594154,16.24598791
13800,01109,Pike County,33122,0,1791.438646,750.8229117,489,261.8229117,1040.615734,1529.615734,41.91172906,14.61523186,,,,,,,,
13900,01111,Randolph County,22767,0,827.946496,421.1594401,100.5,320.6594401,406.7870559,507.2870559,50.86795368,38.72948815,,,,,,,,
14900,01113,Russell County,57438,0,2571.940841,1078.737706,858,220.7377064,1493.203135,2351.203135,41.94255517,8.582534357,,,,,,,,
17900,01115,St. Clair County,85261,0,1746.414656,817.4882044,187.5,629.9882044,928.9264513,1116.426451,46.80951352,36.07323165,,,,,,,,
17900,01117,Shelby County,201093,0,2821,613,295.5,317.5,2208,2503.5,21.72988302,11.25487416,,,,,,,,
13800,01119,Sumter County,,1,,,,,,,,,7766.164927,3785.690215,2524,1261.690215,3980.474712,6504.474712,48.74594154,16.24598791
13800,01121,Talladega County,81503,0,3244.144179,1664.324038,919.5,744.8240379,1579.820141,2499.320141,51.30240661,22.95903008,,,,,,,,
15250,01123,Tallapoosa County,41273,0,1120.704833,574.0511939,438.5,135.5511939,546.6536392,985.1536392,51.22233589,12.09517349,,,,,,,,
16700,01125,Tuscaloosa County,198762,0,8326.873783,1921.887281,2320,0,6404.986502,8326.873783,23.08053816,0,,,,,,,,
13900,01127,Walker County,66257,0,1887.975779,1060.387895,551,509.3878952,827.5878839,1378.587884,56.16533363,26.98063719,,,,,,,,
16500,01129,Washington County,,1,,,,,,,,,7766.164927,3785.690215,2524,1261.690215,3980.474712,6504.474712,48.74594154,16.24598791
13800,01131,Wilcox County,,1,,,,,,,,,7766.164927,3785.690215,2524,1261.690215,3980.474712,6504.474712,48.74594154,16.24598791
13800,01133,Winston County,24203,0,587.4417721,274.104472,217,57.10447195,313.3373002,530.3373002,46.66070493,9.720873568,,,,,,,,
22150,02013,Aleutians East Borough,,1,,,,,,,,,2960.956394,1036.162647,339,697.1626472,1924.793747,2263.793747,34.994188,23.54518454
27400,02016,Aleutians West Census Area,,1,,,,,,,,,2960.956394,1036.162647,339,697.1626472,1924.793747,2263.793747,34.994188,23.54518454
26350,02020,Anchorage Municipality,298384,0,8233,2199,1932,267,6034,7966,26.70958338,3.243046277,,,,,,,,
24850,02050,Bethel Census Area,,1,,,,,,,,,2960.956394,1036.162647,339,697.1626472,1924.793747,2263.793747,34.994188,23.54518454
24950,02060,Bristol Bay Borough,,1,,,,,,,,,2960.956394,1036.162647,339,697.1626472,1924.793747,2263.793747,34.994188,23.54518454
27900,02068,Denali Borough,,1,,,,,,,,,2960.956394,1036.162647,339,697.1626472,1924.793747,2263.793747,34.994188,23.54518454
22150,02070,Dillingham Census Area,,1,,,,,,,,,2960.956394,1036.162647,339,697.1626472,1924.793747,2263.793747,34.994188,23.54518454
24100,02090,Fairbanks North Star Borough,99951,0,2924.822812,1183.648784,520.5,663.1487838,1741.174028,2261.674028,40.46907659,22.67312677,,,,,,,,
22250,02100,Haines Borough,,1,,,,,,,,,2960.956394,1036.162647,339,697.1626472,1924.793747,2263.793747,34.994188,23.54518454
28250,02110,Juneau City and Borough,32415,0,766.2207935,310.8552356,463.5,0,455.3655579,766.2207935,40.56992949,0,,,,,,,,
22750,02122,Kenai Peninsula Borough,56812,0,1217.147861,245.9853907,178,67.98539075,971.1624703,1149.16247,20.20998423,5.585631206,,,,,,,,
22150,02150,Kodiak Island Borough,,1,,,,,,,,,2960.956394,1036.162647,339,697.1626472,1924.793747,2263.793747,34.994188,23.54518454
22150,02164,Lake and Peninsula Borough,,1,,,,,,,,,2960.956394,1036.162647,339,697.1626472,1924.793747,2263.793747,34.994188,23.54518454
24750,02170,Matanuska-Susitna Borough,93641,0,1784.185472,358.0146093,214.5,143.5146093,1426.170863,1640.670863,20.06599733,8.043704619,,,,,,,,
22500,02180,Nome Census Area,,1,,,,,,,,,2960.956394,1036.162647,339,697.1626472,1924.793747,2263.793747,34.994188,23.54518454
22550,02185,North Slope Borough,,1,,,,,,,,,2960.956394,1036.162647,339,697.1626472,1924.793747,2263.793747,34.994188,23.54518454
22150,02188,Northwest Arctic Borough,,1,,,,,,,,,2960.956394,1036.162647,339,697.1626472,1924.793747,2263.793747,34.994188,23.54518454
22600,02220,Sitka City and Borough,,1,,,,,,,,,2960.956394,1036.162647,339,697.1626472,1924.793747,2263.793747,34.994188,23.54518454
23525,02232,,,1,,,,,,,,,2960.956394,1036.162647,339,697.1626472,1924.793747,2263.793747,34.994188,23.54518454
22150,02240,Southeast Fairbanks Census Area,,1,,,,,,,,,2960.956394,1036.162647,339,697.1626472,1924.793747,2263.793747,34.994188,23.54518454
23250,02261,Valdez-Cordova Census Area,,1,,,,,,,,,2960.956394,1036.162647,339,697.1626472,1924.793747,2263.793747,34.994188,23.54518454
22150,02270,Wade Hampton Census Area,,1,,,,,,,,,2960.956394,1036.162647,339,697.1626472,1924.793747,2263.793747,34.994188,23.54518454
24900,02282,Yakutat City and Borough,,1,,,,,,,,,2960.956394,1036.162647,339,697.1626472,1924.793747,2263.793747,34.994188,23.54518454
22150,02290,Yukon-Koyukuk Census Area,,1,,,,,,,,,2960.956394,1036.162647,339,697.1626472,1924.793747,2263.793747,34.994188,23.54518454
23200,02999,,,1,,,,,,,,,2960.956394,1036.162647,339,697.1626472,1924.793747,2263.793747,34.994188,23.54518454
14750,04001,Apache County,72378,0,970.2385646,458.5672368,58,400.5672368,511.6713278,569.6713278,47.26334878,41.28543756,,,,,,,,
16250,04003,Cochise County,131232,0,4132.190159,1447.851825,546,901.8518255,2684.338334,3230.338334,35.03836391,21.82503202,,,,,,,,
18650,04005,Coconino County,135522,0,4834.666667,944,428.5,515.5,3890.666667,4319.166667,19.5256481,10.66257584,,,,,,,,
14800,04007,Gila County,53201,0,1381.310443,593.1742966,49.5,543.6742966,788.1361468,837.6361468,42.94286628,39.35931269,,,,,,,,
15300,04009,Graham County,37170,0,659.7790778,308.7031487,30,278.7031487,351.0759291,381.0759291,46.78886602,42.24188946,,,,,,,,
16500,04011,Greenlee County,,1,,,,,,,,,178.7294129,83.76617735,0,83.76617735,94.96323553,94.96323553,46.86759499,46.86759499
14750,04012,La Paz County,20356,0,363.945247,114.2729196,0,114.2729196,249.6723274,249.6723274,31.39838218,31.39838218,,,,,,,,
18950,04013,Maricopa County,3939668,0,124368.3333,18346,13206.5,5139.5,106022.3333,119228.8333,14.75134346,4.132482813,,,,,,,,
14800,04015,Mohave County,202857,0,5694.388086,1769.393747,210.5,1558.893747,3924.994339,4135.494339,31.07258796,27.37596601,,,,,,,,
14750,04017,Navajo County,107144,0,2742.094769,1299.766097,95,1204.766097,1442.328672,1537.328672,47.40048051,43.93597589,,,,,,,,
17950,04019,Pima County,992286,0,40447.33333,7560,5017,2543,32887.33333,37904.33333,18.69097262,6.287188278,,,,,,,,
18950,04021,Pinal County,386687,0,7565.691362,2349.484038,506,1843.484038,5216.207324,5722.207324,31.0544526,24.36636587,,,,,,,,
14750,04023,Santa Cruz County,47111,0,1462.299545,512.3538476,281,231.3538476,949.9456975,1230.945698,35.03754407,15.82123501,,,,,,,,
16450,04025,Yavapai County,212843,0,6998.333333,1215.666667,267,948.6666667,5782.666667,6049.666667,17.37080257,13.55560848,,,,,,,,
14750,04027,Yuma County,201595,0,4438,1269.333333,1010.5,258.8333333,3168.666667,4179.166667,28.60147213,5.8322067,,,,,,,,
15550,05001,Arkansas County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
14500,05003,Ashley County,21491,0,648.7930201,256.3061908,159,97.30619082,392.4868293,551.4868293,39.50507834,14.99803293,,,,,,,,
13450,05005,Baxter County,41096,0,821.2404881,345.6864154,151.5,194.1864154,475.5540726,627.0540726,42.09320174,23.64549949,,,,,,,,
17000,05007,Benton County,232560,0,4484.755697,888.9237961,494.5,394.4237961,3595.831901,4090.331901,19.82100824,8.794766599,,,,,,,,
14650,05009,Boone County,37252,0,660.5152051,278.7410577,354,0,381.7741474,660.5152051,42.20055126,0,,,,,,,,
13200,05011,Bradley County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
13200,05013,Calhoun County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
13400,05015,Carroll County,27646,0,499.5762133,209.7866107,90.5,119.2866107,289.7896026,380.2896026,41.99291422,23.87756013,,,,,,,,
13200,05017,Chicot County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
14450,05019,Clark County,22837,0,777.3011487,215.0993655,263.5,0,562.2017832,777.3011487,27.67259071,0,,,,,,,,
13200,05021,Clay County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
14300,05023,Cleburne County,25806,0,477.4671877,156.5109704,81.5,75.01097042,320.9562172,402.4562172,32.77941908,15.71018331,,,,,,,,
13850,05025,Cleveland County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
14950,05027,Columbia County,24403,0,806.2699686,266.2117797,172.5,93.7117797,540.0581889,712.5581889,33.01769755,11.62287861,,,,,,,,
15350,05029,Conway County,21223,0,533.9936572,153.6819977,181.5,0,380.3116595,533.9936572,28.77974217,0,,,,,,,,
15950,05031,Craighead County,99927,0,4435.224237,1332.241467,1128.5,203.7414668,3102.98277,4231.48277,30.03774771,4.593712874,,,,,,,,
14100,05033,Crawford County,61801,0,1459.702016,382.3939646,375.5,6.893964628,1077.308052,1452.808052,26.19671415,0.472285751,,,,,,,,
17400,05035,Crittenden County,50117,0,2765.737872,937.3348321,840.5,96.83483208,1828.40304,2668.90304,33.89094974,3.501229566,,,,,,,,
14550,05037,Cross County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
13200,05039,Dallas County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
13200,05041,Desha County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
14250,05043,Drew County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
18650,05045,Faulkner County,118233,0,3680.503023,822.9317619,434,388.9317619,2857.571261,3291.571261,22.35921983,10.56735341,,,,,,,,
13200,05047,Franklin County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
13200,05049,Fulton County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
14100,05051,Garland County,96900,0,3034.221397,836.2477571,601,235.2477571,2197.97364,2798.97364,27.56053853,7.753150688,,,,,,,,
18700,05053,Grant County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
14600,05055,Greene County,42994,0,1543.102772,458.5386405,312.5,146.0386405,1084.564132,1397.064132,29.71536626,9.463960739,,,,,,,,
13300,05057,Hempstead County,22454,0,863.7026358,345.8011429,221,124.8011429,517.901493,738.901493,40.03706004,14.44954984,,,,,,,,
14700,05059,Hot Spring County,33322,0,696.7619291,191.0474317,155.5,35.54743173,505.7144974,661.2144974,27.419327,5.10180454,,,,,,,,
13200,05061,Howard County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
13950,05063,Independence County,36955,0,1102.684693,360.5829556,209,151.5829556,742.1017377,951.1017377,32.70045896,13.74671803,,,,,,,,
13200,05065,Izard County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
13200,05067,Jackson County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
13850,05069,Jefferson County,74611,0,2770.357929,562.1858797,745,0,2208.17205,2770.357929,20.29289695,0,,,,,,,,
13200,05071,Johnson County,25789,0,895.0970995,253.1268341,123.5,129.6268341,641.9702654,765.4702654,28.27925979,14.481874,,,,,,,,
13200,05073,Lafayette County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
13200,05075,Lawrence County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
13200,05077,Lee County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
13850,05079,Lincoln County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
14450,05081,Little River County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
15000,05083,Logan County,22120,0,543.8832578,187.1793202,123.5,63.67932025,356.7039375,480.2039375,34.4153488,11.70826999,,,,,,,,
18650,05085,Lonoke County,70051,0,1405.524398,314.3167385,549,0,1091.207659,1405.524398,22.36295144,0,,,,,,,,
17000,05087,Madison County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
13200,05089,Marion County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
16300,05091,Miller County,43588,0,1579.046537,629.7213464,609,20.72134637,949.3251908,1558.325191,39.87984721,1.312269517,,,,,,,,
13200,05093,Mississippi County,45444,0,2074.049726,699.820404,722.5,0,1374.229322,2074.049726,33.74173701,0,,,,,,,,
13200,05095,Monroe County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
13800,05097,Montgomery County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
14900,05099,Nevada County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
13200,05101,Newton County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
13650,05103,Ouachita County,25374,0,921.7128225,305.7521412,382,0,615.9606814,921.7128225,33.17216965,0,,,,,,,,
18650,05105,Perry County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
13200,05107,Phillips County,20868,0,1348.850924,487.902831,553.5,0,860.9480925,1348.850924,36.17173867,0,,,,,,,,
13200,05109,Pike County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
13200,05111,Poinsett County,24281,0,970.5335056,350.7125785,472.5,0,619.8209271,970.5335056,36.13606088,0,,,,,,,,
13200,05113,Polk County,20479,0,411.4434745,141.0542815,98.5,42.55428146,270.389193,368.889193,34.28278493,10.34267988,,,,,,,,
14700,05115,Pope County,62611,0,1597.699618,459.7900333,394,65.79003327,1137.909584,1531.909584,28.77825269,4.117797397,,,,,,,,
13600,05117,Prairie County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
18650,05119,Pulaski County,389001,0,15012.33333,3641.666667,4512.5,0,11370.66667,15012.33333,24.25783245,0,,,,,,,,
13900,05121,Randolph County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
13200,05123,St. Francis County,27688,0,1298.683457,470.1723886,607.5,0,828.5110685,1298.683457,36.20377129,0,,,,,,,,
18650,05125,Saline County,112083,0,1445.639246,352.0848329,434,0,1093.554413,1445.639246,24.35495812,0,,,,,,,,
13200,05127,Scott County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
13200,05129,Searcy County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
14100,05131,Sebastian County,127243,0,4791.631317,1251.272702,1147.5,103.772702,3540.358615,4687.858615,26.11370991,2.16570715,,,,,,,,
13200,05133,Sevier County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
13200,05135,Sharp County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
13200,05137,Stone County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
14750,05139,Union County,41004,0,1282.505362,423.7685725,404,19.7685725,858.7367899,1262.73679,33.04224567,1.541402717,,,,,,,,
13200,05141,Van Buren County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
17000,05143,Washington County,211919,0,9964.910969,1724.076204,1005.5,718.5762039,8240.834766,9246.334766,17.30147122,7.211064967,,,,,,,,
14750,05145,White County,78404,0,3038.531392,980.8799394,527.5,453.3799394,2057.651453,2585.151453,32.28138244,14.92102206,,,,,,,,
13200,05147,Woodruff County,,1,,,,,,,,,13583.69685,4727.291127,4158,569.2911265,8856.405728,13014.40573,34.8012119,4.190988157
13200,05149,Yell County,21920,0,543.3156161,157.8237087,114.5,43.32370865,385.4919075,499.9919075,29.04825556,7.973948727,,,,,,,,
26750,06001,Alameda County,1554725,0,74912.66667,19710.66667,16484.5,3226.166667,55202,71686.5,26.3115272,4.306570317,,,,,,,,
23350,06003,Alpine County,,1,,,,,,,,,2943.5506,985.2174451,285,700.2174451,1958.333155,2243.333155,33.47037571,23.78819121
20750,06005,Amador County,37005,0,896.9650305,287.2669391,101.5,185.7669391,609.6980913,711.1980913,32.02654835,20.7106111,,,,,,,,
17200,06007,Butte County,221006,0,9136.333333,1501,1244.5,256.5,7635.333333,8879.833333,16.42891021,2.807471998,,,,,,,,
20900,06009,Calaveras County,44788,0,921.7461655,297.6310812,32,265.6310812,624.1150843,656.1150843,32.28991802,28.8182464,,,,,,,,
17200,06011,Colusa County,21373,0,595.1351773,228.796587,58,170.796587,366.3385903,424.3385903,38.44447375,28.6987887,,,,,,,,
26750,06013,Contra Costa County,1079460,0,36578,8750,7074.5,1675.5,27828,34902.5,23.92148286,4.580622232,,,,,,,,
17200,06015,Del Norte County,28202,0,1164.972828,417.1264524,144.5,272.6264524,747.8463758,892.3463758,35.80568081,23.40195804,,,,,,,,
21700,06017,El Dorado County,181095,0,4549.751044,1277.605199,446.5,831.1051988,3272.145845,3718.645845,28.08077159,18.26704782,,,,,,,,
17200,06019,Fresno County,947942,0,38483.62617,6987.270128,7143.5,0,31496.35605,38483.62617,18.15647542,0,,,,,,,,
17200,06021,Glenn County,28023,0,833.6414452,321.2354545,71.5,249.7354545,512.4059907,583.9059907,38.5340072,29.95717835,,,,,,,,
17200,06023,Humboldt County,134768,0,5495.666667,857.3333333,810,47.33333333,4638.333333,5448.333333,15.60016983,0.861284649,,,,,,,,
17200,06025,Imperial County,176416,0,7150.666667,2184,1790,394,4966.666667,6756.666667,30.54260675,5.50997576,,,,,,,,
19750,06027,Inyo County,,1,,,,,,,,,2943.5506,985.2174451,285,700.2174451,1958.333155,2243.333155,33.47037571,23.78819121
17200,06029,Kern County,856363,0,26548.71196,4238.697507,2755,1483.697507,22310.01446,25065.01446,15.96573692,5.588585649,,,,,,,,
17200,06031,Kings County,151445,0,4391.666667,1108.333333,555.5,552.8333333,3283.333333,3838.833333,25.23719165,12.58823529,,,,,,,,
