l30_4,county,Total,units_no_USDA,per100_no_USDA,abbrev,countyname,population,state_flag,Gap_No_USDA,Units,Gap,per100,All_HUD,All_HUD_noPH,PH,over_flag,Units_No_HUD,Unitsnoasst,eli,gap_no_hud,gap_no_assisted,per100_no_HUD,per100_no_assisted,ST_Total,ST_Gap_No_assisted,ST_eli,eli_TPaff_noPH,ST_Per100_No_Assisted,ST_Unitsnoasst,puh_1_total,ST_Units_no_USDA,ST_Per100_No_USDA,ST_population,ST_Units_No_HUD,ST_Units,ST_Gap_No_HUD,ST_Gap_No_USDA,ST_Gap,ST_per100,ST_per100_No_HUD,MinEli,MaxEli,min_max_same,USDA
11150,01019,,,,AL,Cherokee County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
11150,01021,,,,AL,Chilton County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
11150,01023,,,,AL,Choctaw County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
11150,01025,,,,AL,Clarke County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
11150,01027,,,,AL,Clay County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
11150,01029,,,,AL,Cleburne County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
12600,01031,1469.3069307,1252.8811881,85.270215633,AL,Coffee County,50726,0,216.42574257,1252.8811881,216.42574257,85.270215633,342,241,101,0,910.88118812,910.88118812,342,558.42574257,558.42574257,61.99393531,61.99393531,,,,,,,,,,,,,,,,,,,,,
12400,01033,1536.7332351,1152.1335667,74.972906188,AL,Colbert County,54491,0,384.59966839,1152.1335667,384.59966839,74.972906188,449,344,105,0,703.13356669,703.13356669,449,833.59966839,833.59966839,45.755082967,45.755082967,,,,,,,,,,,,,,,,,,,,,
11150,01035,,,,AL,Conecuh County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
11150,01037,,,,AL,Coosa County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
11150,01039,1015.9207921,874.64356436,86.093676906,AL,Covington County,37881,0,141.27722772,874.64356436,141.27722772,86.093676906,316,175,141,0,558.64356436,558.64356436,316,457.27722772,457.27722772,54.988889755,54.988889755,,,,,,,,,,,,,,,,,,,,,
11150,01041,,,,AL,Crenshaw County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
11150,01043,1523.9519852,1084.4699908,71.161690216,AL,Cullman County,80668,0,439.48199446,1084.4699908,439.48199446,71.161690216,275,132,143,0,809.46999077,809.46999077,275,714.48199446,714.48199446,53.116502266,53.116502266,,,,,,,,,,,,,,,,,,,,,
11400,01045,1324.8267548,1012.714369,76.441267914,AL,Dale County,50013,0,312.11238577,1012.714369,312.11238577,76.441267914,408,362,46,0,607.71436905,607.71436905,405,717.11238577,717.11238577,45.871233113,45.871233113,,,,,,,,,,,,,,,,,,,,,
11150,01047,2961.0437253,2488.1884881,84.030791808,AL,Dallas County,42743,0,472.85523715,2488.1884881,472.85523715,84.030791808,979,670,309,0,1520.1884881,1520.1884881,968,1440.8552372,1440.8552372,51.339616337,51.339616337,,,,,,,,,,,,,,,,,,,,,
11150,01049,1304.8339802,1068.3104787,81.873287705,AL,DeKalb County,71074,0,236.52350151,1068.3104787,236.52350151,81.873287705,367,133,234,0,701.31047865,701.31047865,367,603.52350151,603.52350151,53.747104177,53.747104177,,,,,,,,,,,,,,,,,,,,,
14350,01051,,,,AL,Elmore County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
11150,01053,1140.0134093,1003.3935635,88.015943964,AL,Escambia County,38042,0,136.61984579,1003.3935635,136.61984579,88.015943964,210,148,62,0,800.39356353,800.39356353,203,339.61984579,339.61984579,70.209135874,70.209135874,,,,,,,,,,,,,,,,,,,,,
11150,01055,2952,1948,65.989159892,AL,Etowah County,104126,0,1004,1948,1004,65.989159892,835,428,407,0,1113,1113,835,1839,1839,37.703252033,37.703252033,,,,,,,,,,,,,,,,,,,,,
11150,01057,,,,AL,Fayette County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
11150,01059,1158.6317001,962.59355475,83.080201816,AL,Franklin County,31663,0,196.03814535,962.59355475,196.03814535,83.080201816,270,114,156,0,692.59355475,692.59355475,270,466.03814535,466.03814535,59.776851841,59.776851841,,,,,,,,,,,,,,,,,,,,,
11150,01061,,,,AL,Geneva County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
11150,01063,,,,AL,Greene County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
11150,01065,,,,AL,Hale County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
11150,01067,,,,AL,Henry County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
11400,01069,2787.1732452,1930.285631,69.256033305,AL,Houston County,103079,0,856.88761423,1930.285631,856.88761423,69.256033305,905,555,350,0,1025.285631,1025.285631,905,1761.8876142,1761.8876142,36.785859391,36.785859391,,,,,,,,,,,,,,,,,,,,,
11150,01071,1361.1660198,1113.6895213,81.818786622,AL,Jackson County,53012,0,247.47649849,1113.6895213,247.47649849,81.818786622,289,138,151,0,824.68952135,824.68952135,289,536.47649849,536.47649849,60.586990075,60.586990075,,,,,,,,,,,,,,,,,,,,,
14950,01073,25237,18677,74.006419146,AL,Jefferson County,658834,0,6560,18677,6560,74.006419146,8434,5523,2911,0,10329,10329,8348,14908,14908,40.928002536,40.928002536,,,,,,,,,,,,,,,,,,,,,
11150,01075,,,,AL,Lamar County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
12400,01077,2907.2667649,2277.8664333,78.350788472,AL,Lauderdale County,92780,0,629.40033161,2277.8664333,629.40033161,78.350788472,827,749,78,0,1450.8664333,1450.8664333,827,1456.4003316,1456.4003316,49.904826444,49.904826444,,,,,,,,,,,,,,,,,,,,,
12600,01079,,,,AL,Lawrence County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
13300,01081,6913,2826,40.879502387,AL,Lee County,147790,0,4087,2826,4087,40.879502387,755,455,300,0,2073,2073,753,4840,4840,29.98698105,29.98698105,,,,,,,,,,,,,,,,,,,,,
15000,01083,1235.0422682,839.4086931,67.965989079,AL,Limestone County,87167,0,395.63357507,839.4086931,395.63357507,67.965989079,305,144,161,0,534.4086931,534.4086931,305,700.63357507,700.63357507,43.270478013,43.270478013,,,,,,,,,,,,,,,,,,,,,
11150,01085,,,,AL,Lowndes County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
11150,01087,1099.8007174,990.02311678,90.018409799,AL,Macon County,20505,0,109.77760064,990.02311678,109.77760064,90.018409799,347,232,115,0,643.02311678,643.02311678,347,456.77760064,456.77760064,58.467239255,58.467239255,,,,,,,,,,,,,,,,,,,,,
15000,01089,7743.9577318,4447.5913069,57.433052464,AL,Madison County,343229,0,3296.3664249,4447.5913069,3296.3664249,57.433052464,2308,1285,1023,0,2199.5913069,2199.5913069,2248,5544.3664249,5544.3664249,28.403968398,28.403968398,,,,,,,,,,,,,,,,,,,,,
11150,01091,,,,AL,Marengo County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
11150,01093,887.74449194,741.19302861,83.49170683,AL,Marion County,30527,0,146.55146333,741.19302861,146.55146333,83.49170683,320,93,227,0,423.19302861,423.19302861,318,464.55146333,464.55146333,47.670589055,47.670589055,,,,,,,,,,,,,,,,,,,,,
11150,01095,1928.8494922,1846.5309326,95.732245575,AL,Marshall County,94121,0,82.318559557,1846.5309326,82.318559557,95.732245575,928,641,287,0,918.53093259,918.53093259,928,1010.3185596,1010.3185596,47.620663838,47.620663838,,,,,,,,,,,,,,,,,,,,,
13000,01097,14900,10933,73.375838926,AL,Mobile County,414045,0,3967,10933,3967,73.375838926,5845,3673,2172,0,5097,5097,5836,9803,9803,34.208053691,34.208053691,,,,,,,,,,,,,,,,,,,,,
11150,01099,729.81562186,677.08850151,92.775282034,AL,Monroe County,22509,0,52.727120349,677.08850151,52.727120349,92.775282034,186,125,61,0,491.08850151,491.08850151,186,238.72712035,238.72712035,67.289392937,67.289392937,,,,,,,,,,,,,,,,,,,,,
14350,01101,8603.506685,5459.8965508,63.461292595,AL,Montgomery County,228850,0,3143.6101342,5459.8965508,3143.6101342,63.461292595,2572,1380,1192,0,2890.8965508,2890.8965508,2569,5712.6101342,5712.6101342,33.601375075,33.601375075,,,,,,,,,,,,,,,,,,,,,
12600,01103,3080.9788786,2363.0638672,76.698476698,AL,Morgan County,119744,0,717.91501132,2363.0638672,717.91501132,76.698476698,770,691,79,0,1594.0638672,1594.0638672,769,1486.9150113,1486.9150113,51.738876833,51.738876833,,,,,,,,,,,,,,,,,,,,,
11150,01105,,,,AL,Perry County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
11150,01107,,,,AL,Pickens County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
11150,01109,1417.5209247,1254.0075727,88.464836809,AL,Pike County,33216,0,163.51335193,1254.0075727,163.51335193,88.464836809,317,278,39,0,938.00757274,938.00757274,316,479.51335193,479.51335193,66.172396923,66.172396923,,,,,,,,,,,,,,,,,,,,,
11150,01111,,,,AL,Randolph County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
12500,01113,2493.8999601,2145.8876046,86.045456471,AL,Russell County,56980,0,348.01235552,2145.8876046,348.01235552,86.045456471,747,427,320,0,1398.8876046,1398.8876046,747,1095.0123555,1095.0123555,56.092370463,56.092370463,,,,,,,,,,,,,,,,,,,,,
14950,01115,1075.3542802,848.59313883,78.912889867,AL,St. Clair County,85242,0,226.76114139,848.59313883,226.76114139,78.912889867,106,60,46,0,742.59313883,742.59313883,106,332.76114139,332.76114139,69.055673324,69.055673324,,,,,,,,,,,,,,,,,,,,,
14950,01117,1705,987,57.88856305,AL,Shelby County,201168,0,718,987,718,57.88856305,203,72,131,0,794,794,193,911,911,46.568914956,46.568914956,,,,,,,,,,,,,,,,,,,,,
11150,01119,764.07859257,754.61887537,98.761944479,AL,Sumter County,13433,0,9.4597171983,754.61887537,9.4597171983,98.761944479,257,195,62,0,497.61887537,497.61887537,257,266.4597172,266.4597172,65.12666108,65.12666108,,,,,,,,,,,,,,,,,,,,,
11150,01121,2582.9631794,1825.4272355,70.67182568,AL,Talladega County,81673,0,757.53594389,1825.4272355,757.53594389,70.67182568,658,171,487,0,1167.4272355,1167.4272355,658,1415.5359439,1415.5359439,45.197207797,45.197207797,,,,,,,,,,,,,,,,,,,,,
11150,01123,1003.8293147,801.82074873,79.87620375,AL,Tallapoosa County,41295,0,202.00856599,801.82074873,202.00856599,79.87620375,288,144,144,0,513.82074873,513.82074873,288,490.00856599,490.00856599,51.186067312,51.186067312,,,,,,,,,,,,,,,,,,,,,
13600,01125,8151,4253,52.177646914,AL,Tuscaloosa County,198670,0,3898,4253,3898,52.177646914,1922,1186,736,0,2344,2344,1909,5807,5807,28.757207705,28.757207705,,,,,,,,,,,,,,,,,,,,,
11150,01127,1914.8012183,1715.1875601,89.575228159,AL,Walker County,66211,0,199.61365822,1715.1875601,199.61365822,89.575228159,425,311,114,0,1290.1875601,1290.1875601,425,624.61365822,624.61365822,67.379712722,67.379712722,,,,,,,,,,,,,,,,,,,,,
11150,01129,,,,AL,Washington County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
11150,01131,,,,AL,Wilcox County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
11150,01133,,,,AL,Winston County,,,,,,,,,,,,,,,,,,137585,63133,23875,24089,54.113457136,74452,15608,98327,71.466366246,4817678,74452,98327,63133,39258,39258,71.466366246,54.113457136,11150,14950,,
16650,02013,,,,AK,Aleutians East Borough,,,,,,,,,,,,,,,,,,12807,9727,1636,1637,24.049348013,3080,310,4716,36.823612087,699551,3080,4716,9727,8091,8091,36.823612087,24.049348013,15050,20600,,
15050,02016,,,,AK,Aleutians West Census Area,,,,,,,,,,,,,,,,,,12807,9727,1636,1637,24.049348013,3080,310,4716,36.823612087,699551,3080,4716,9727,8091,8091,36.823612087,24.049348013,15050,20600,,
17800,02020,5393,1992,36.936769887,AK,Anchorage Municipality,298178,0,3401,1992,3401,36.936769887,1141,979,162,0,852,852,1140,4541,4541,15.798257,15.798257,,,,,,,,,,,,,,,,,,,,,
18700,02050,,,,AK,Bethel Census Area,,,,,,,,,,,,,,,,,,12807,9727,1636,1637,24.049348013,3080,310,4716,36.823612087,699551,3080,4716,9727,8091,8091,36.823612087,24.049348013,15050,20600,,
20200,02060,,,,AK,Bristol Bay Borough,,,,,,,,,,,,,,,,,,12807,9727,1636,1637,24.049348013,3080,310,4716,36.823612087,699551,3080,4716,9727,8091,8091,36.823612087,24.049348013,15050,20600,,
15050,02068,,,,AK,Denali Borough,,,,,,,,,,,,,,,,,,12807,9727,1636,1637,24.049348013,3080,310,4716,36.823612087,699551,3080,4716,9727,8091,8091,36.823612087,24.049348013,15050,20600,,
15400,02070,,,,AK,Dillingham Census Area,,,,,,,,,,,,,,,,,,12807,9727,1636,1637,24.049348013,3080,310,4716,36.823612087,699551,3080,4716,9727,8091,8091,36.823612087,24.049348013,15050,20600,,
15050,02090,1715.7283582,568.29552239,33.122697988,AK,Fairbanks North Star Borough,99319,0,1147.4328358,568.29552239,1147.4328358,33.122697988,174,159,15,0,394.29552239,394.29552239,174,1321.4328358,1321.4328358,22.98123246,22.98123246,,,,,,,,,,,,,,,,,,,,,
15050,02100,,,,AK,Haines Borough,,,,,,,,,,,,,,,,,,12807,9727,1636,1637,24.049348013,3080,310,4716,36.823612087,699551,3080,4716,9727,8091,8091,36.823612087,24.049348013,15050,20600,,
19550,02110,,,,AK,Juneau City and Borough,,,,,,,,,,,,,,,,,,12807,9727,1636,1637,24.049348013,3080,310,4716,36.823612087,699551,3080,4716,9727,8091,8091,36.823612087,24.049348013,15050,20600,,
16000,02122,1101.2653317,440.12202753,39.965121473,AK,Kenai Peninsula Borough,56687,0,661.14330413,440.12202753,661.14330413,39.965121473,119,119,0,0,321.12202753,321.12202753,119,780.14330413,780.14330413,29.159369527,29.159369527,,,,,,,,,,,,,,,,,,,,,
17350,02150,,,,AK,Kodiak Island Borough,,,,,,,,,,,,,,,,,,12807,9727,1636,1637,24.049348013,3080,310,4716,36.823612087,699551,3080,4716,9727,8091,8091,36.823612087,24.049348013,15050,20600,,
15050,02164,,,,AK,Lake and Peninsula Borough,,,,,,,,,,,,,,,,,,12807,9727,1636,1637,24.049348013,3080,310,4716,36.823612087,699551,3080,4716,9727,8091,8091,36.823612087,24.049348013,15050,20600,,
16700,02170,1182.7346683,428.87797247,36.261554172,AK,Matanuska-Susitna Borough,93843,0,753.85669587,428.87797247,753.85669587,36.261554172,86,84,2,0,342.87797247,342.87797247,86,839.85669587,839.85669587,28.990269893,28.990269893,,,,,,,,,,,,,,,,,,,,,
16650,02180,,,,AK,Nome Census Area,,,,,,,,,,,,,,,,,,12807,9727,1636,1637,24.049348013,3080,310,4716,36.823612087,699551,3080,4716,9727,8091,8091,36.823612087,24.049348013,15050,20600,,
20600,02185,,,,AK,North Slope Borough,,,,,,,,,,,,,,,,,,12807,9727,1636,1637,24.049348013,3080,310,4716,36.823612087,699551,3080,4716,9727,8091,8091,36.823612087,24.049348013,15050,20600,,
18200,02188,,,,AK,Northwest Arctic Borough,,,,,,,,,,,,,,,,,,12807,9727,1636,1637,24.049348013,3080,310,4716,36.823612087,699551,3080,4716,9727,8091,8091,36.823612087,24.049348013,15050,20600,,
16850,02220,,,,AK,Sitka City and Borough,,,,,,,,,,,,,,,,,,12807,9727,1636,1637,24.049348013,3080,310,4716,36.823612087,699551,3080,4716,9727,8091,8091,36.823612087,24.049348013,15050,20600,,
16900,02231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15050,20600,,
15050,02240,,,,AK,Southeast Fairbanks Census Area,,,,,,,,,,,,,,,,,,12807,9727,1636,1637,24.049348013,3080,310,4716,36.823612087,699551,3080,4716,9727,8091,8091,36.823612087,24.049348013,15050,20600,,
17550,02261,,,,AK,Valdez-Cordova Census Area,,,,,,,,,,,,,,,,,,12807,9727,1636,1637,24.049348013,3080,310,4716,36.823612087,699551,3080,4716,9727,8091,8091,36.823612087,24.049348013,15050,20600,,
15050,02270,,,,AK,Wade Hampton Census Area,,,,,,,,,,,,,,,,,,12807,9727,1636,1637,24.049348013,3080,310,4716,36.823612087,699551,3080,4716,9727,8091,8091,36.823612087,24.049348013,15050,20600,,
16900,02282,,,,AK,Yakutat City and Borough,,,,,,,,,,,,,,,,,,12807,9727,1636,1637,24.049348013,3080,310,4716,36.823612087,699551,3080,4716,9727,8091,8091,36.823612087,24.049348013,15050,20600,,
15050,02290,,,,AK,Yukon-Koyukuk Census Area,,,,,,,,,,,,,,,,,,12807,9727,1636,1637,24.049348013,3080,310,4716,36.823612087,699551,3080,4716,9727,8091,8091,36.823612087,24.049348013,15050,20600,,
16450,02999,,,,,,,,,,,,,,,,,,,,,,,12807,9727,1636,1637,24.049348013,3080,310,4716,36.823612087,699551,3080,4716,9727,8091,8091,36.823612087,24.049348013,15050,20600,,
9850,04001,,,,AZ,Apache County,,,,,,,,,,,,,,,,,,117692,87287,16286,16408,25.834381266,30405,2833,46691,39.672195221,6561516,30405,46691,87287,71001,71001,39.672195221,25.834381266,9850,13050,,
10900,04003,2536.8018524,1626.7748254,64.126996117,AZ,Cochise County,130807,0,910.02702703,1626.7748254,910.02702703,64.126996117,566,566,0,0,1060.7748254,1060.7748254,566,1476.027027,1476.027027,41.815438773,41.815438773,,,,,,,,,,,,,,,,,,,,,
13650,04005,3022,948,31.369953673,AZ,Coconino County,135817,0,2074,948,2074,31.369953673,359,258,101,0,590,590,358,2432,2432,19.523494375,19.523494375,,,,,,,,,,,,,,,,,,,,,
9850,04007,1132.3210581,629.92876902,55.6316395,AZ,Gila County,53242,0,502.39228907,629.92876902,502.39228907,55.6316395,33,33,0,0,596.92876902,596.92876902,33,535.39228907,535.39228907,52.717271727,52.717271727,,,,,,,,,,,,,,,,,,,,,
9850,04009,,,,AZ,Graham County,,,,,,,,,,,,,,,,,,117692,87287,16286,16408,25.834381266,30405,2833,46691,39.672195221,6561516,30405,46691,87287,71001,71001,39.672195221,25.834381266,9850,13050,,
13050,04011,,,,AZ,Greenlee County,,,,,,,,,,,,,,,,,,117692,87287,16286,16408,25.834381266,30405,2833,46691,39.672195221,6561516,30405,46691,87287,71001,71001,39.672195221,25.834381266,9850,13050,,
9850,04012,,,,AZ,La Paz County,,,,,,,,,,,,,,,,,,117692,87287,16286,16408,25.834381266,30405,2833,46691,39.672195221,6561516,30405,46691,87287,71001,71001,39.672195221,25.834381266,9850,13050,,
15950,04013,69925,25879,37.0096532,AZ,Maricopa County,3947382,0,44046,25879,44046,37.0096532,12213,10580,1633,0,13774,13774,12105,56151,56151,19.698248123,19.698248123,,,,,,,,,,,,,,,,,,,,,
16050,04015,3561.4133354,1684.9958919,47.312561987,AZ,Mohave County,202482,0,1876.4174435,1684.9958919,1876.4174435,47.312561987,205,205,0,0,1479.9958919,1479.9958919,205,2081.4174435,2081.4174435,41.556420233,41.556420233,,,,,,,,,,,,,,,,,,,,,
9850,04017,1941.4525829,1068.0909792,55.015043303,AZ,Navajo County,107489,0,873.3616037,1068.0909792,873.3616037,55.015043303,91,70,21,0,977.09097918,977.09097918,91,964.3616037,964.3616037,50.327831223,50.327831223,,,,,,,,,,,,,,,,,,,,,
13550,04019,25419,9314,36.641882057,AZ,Pima County,993144,0,16105,9314,16105,36.641882057,4012,3268,744,0,5305,5305,4009,20114,20114,20.870215193,20.870215193,,,,,,,,,,,,,,,,,,,,,
15950,04021,3412.6789419,2322.071231,68.042475443,AZ,Pinal County,390160,0,1090.6077109,2322.071231,1090.6077109,68.042475443,620,533,87,0,1712.071231,1712.071231,610,1700.6077109,1700.6077109,50.167954857,50.167954857,,,,,,,,,,,,,,,,,,,,,
11800,04023,841.17233526,473.73990282,56.319006578,AZ,Santa Cruz County,47250,0,367.43243243,473.73990282,367.43243243,56.319006578,232,122,110,0,241.73990282,241.73990282,232,599.43243243,599.43243243,28.738451408,28.738451408,,,,,,,,,,,,,,,,,,,,,
10900,04025,1754,658,37.514253136,AZ,Yavapai County,213689,0,1096,658,1096,37.514253136,123,123,0,0,535,535,123,1219,1219,30.501710376,30.501710376,,,,,,,,,,,,,,,,,,,,,
10700,04027,2499,1278,51.140456182,AZ,Yuma County,201453,0,1221,1278,1221,51.140456182,739,602,137,0,539,539,739,1960,1960,21.568627451,21.568627451,,,,,,,,,,,,,,,,,,,,,
10400,05001,,,,AR,Arkansas County,,,,,,,,,,,,,,,,,,69858,39999,16308,16491,42.742420338,29859,4744,46167,66.086919179,2947036,29859,46167,39999,23691,23691,66.086919179,42.742420338,9750,14150,,
10400,05003,,,,AR,Ashley County,,,,,,,,,,,,,,,,,,69858,39999,16308,16491,42.742420338,29859,4744,46167,66.086919179,2947036,29859,46167,39999,23691,23691,66.086919179,42.742420338,9750,14150,,
9750,05005,,,,AR,Baxter County,,,,,,,,,,,,,,,,,,69858,39999,16308,16491,42.742420338,29859,4744,46167,66.086919179,2947036,29859,46167,39999,23691,23691,66.086919179,42.742420338,9750,14150,,
13300,05007,2492,1227,49.237560193,AR,Benton County,232611,0,1265,1227,1265,49.237560193,508,496,12,0,734,734,493,1758,1758,29.454253612,29.454253612,,,,,,,,,,,,,,,,,,,,,
10900,05009,,,,AR,Boone County,,,,,,,,,,,,,,,,,,69858,39999,16308,16491,42.742420338,29859,4744,46167,66.086919179,2947036,29859,46167,39999,23691,23691,66.086919179,42.742420338,9750,14150,,
9750,05011,,,,AR,Bradley County,,,,,,,,,,,,,,,,,,69858,39999,16308,16491,42.742420338,29859,4744,46167,66.086919179,2947036,29859,46167,39999,23691,23691,66.086919179,42.742420338,9750,14150,,
10400,05013,,,,AR,Calhoun County,,,,,,,,,,,,,,,,,,69858,39999,16308,16491,42.742420338,29859,4744,46167,66.086919179,2947036,29859,46167,39999,23691,23691,66.086919179,42.742420338,9750,14150,,
10400,05015,,,,AR,Carroll County,,,,,,,,,,,,,,,,,,69858,39999,16308,16491,42.742420338,29859,4744,46167,66.086919179,2947036,29859,46167,39999,23691,23691,66.086919179,42.742420338,9750,14150,,
